"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 10 12:33:28 UTC 2026","Tue Feb 10 12:33:28 UTC 2026","312","tests.steps","test_api_smoke_steps","","","","test_create_account_api_should_reject_unauthorized_request","/home/runner/work/parabank-python-bdd/parabank-python-bdd/tests/features/api_auth.feature: Create account API should reject unauthorized request"
"passed","Tue Feb 10 12:33:28 UTC 2026","Tue Feb 10 12:33:36 UTC 2026","7657","tests.steps","test_login_steps","","","","test_login_should_work_with_valid_credentials","/home/runner/work/parabank-python-bdd/parabank-python-bdd/tests/features/login.feature: Login should work with valid credentials"
